date,code,open,high,low,close,volume,turn,pctChg
2014-12-31,sh.000001,2691.7250,3239.3570,2665.6860,3234.6770,1138352276224,0.458786,20.569360
2015-01-30,sh.000001,3258.6270,3406.7860,3095.0660,3210.3630,703743382272,0.280654,-0.751667
2015-02-27,sh.000001,3148.1360,3324.5460,3049.1110,3310.3030,361559495168,0.143370,3.113044
2015-03-31,sh.000001,3332.7210,3835.5670,3198.3700,3747.8990,944248497152,0.370857,13.219213
2015-04-30,sh.000001,3748.3400,4572.3910,3742.2130,4441.6550,1267737272830,0.494851,18.510531
2015-05-29,sh.000001,4441.3430,4986.5030,4099.0420,4611.7440,1066488461310,0.412823,3.829406
2015-06-30,sh.000001,4633.0990,5178.1910,3847.8800,4277.2220,1287064576510,0.491836,-7.253698
2015-07-31,sh.000001,4214.1500,4317.0530,3373.5400,3663.7260,1319359566080,0.498357,-14.343328
2015-08-31,sh.000001,3614.9900,4006.3370,2850.7130,3205.9860,871925873408,0.327223,-12.493838
2015-09-30,sh.000001,3157.8320,3256.7430,2983.5350,3052.7810,536251260160,0.199873,-4.778717
2015-10-30,sh.000001,3156.0750,3457.5170,3133.1270,3382.5610,545257912576,0.201117,10.802609
2015-11-30,sh.000001,3337.5780,3678.2720,3302.1840,3445.4050,706581437952,0.259604,1.857882
2015-12-31,sh.000001,3442.4410,3684.5670,3399.2800,3539.1820,536818233600,0.196454,2.721799
2016-01-29,sh.000001,3536.5890,3538.6890,2638.3020,2737.6000,400777170432,0.145828,-22.648793
2016-02-29,sh.000001,2730.9840,2933.9640,2638.9630,2687.9790,301329091584,0.109384,-1.812573
2016-03-31,sh.000001,2688.3800,3028.3220,2668.7570,3003.9150,508460013312,0.184181,11.753663
2016-04-29,sh.000001,2997.0880,3097.1650,2905.0490,2938.3240,378696335616,0.136823,-2.183517
2016-05-31,sh.000001,2940.3920,3004.4180,2780.7630,2916.6160,285384827392,0.102433,-0.738789
2016-06-30,sh.000001,2917.1540,2945.9420,2807.5980,2929.6060,317593868544,0.112570,0.445379
2016-07-29,sh.000001,2931.8020,3069.0470,2922.5200,2979.3380,401165924352,0.140548,1.697566
2016-08-31,sh.000001,2971.9490,3140.4400,2931.9630,3085.4910,395621822976,0.137602,3.562973
2016-09-30,sh.000001,3083.9600,3105.6770,2969.1320,3004.7030,279583218176,0.096658,-2.618319
2016-10-31,sh.000001,3020.4560,3137.0330,3014.6190,3100.4920,278313010432,0.095878,3.187969
2016-11-30,sh.000001,3101.6630,3301.2130,3094.1020,3250.0340,520079940864,0.178983,4.823170
